prdt_info_typa,prdt_info_name,prdt_info_name,prdt_info_natn,prdt_info_team,prdt_info_numb,prdt_info_posi,prdt_info_foot,prdt_info_heig,prdt_info_weig,prdt_info_agee,prdt_info_birt
월드컵,손흥민,Son Heung-min,대한민국,대한민국,7,FW(공격수),양발,183,78,33,1992-07-08
월드컵,김민재,Kim Min-jae,대한민국,대한민국,4,DF(수비수),오른발,190,88,29,1996-11-15
월드컵,이강인,Lee Kang-in,대한민국,대한민국,19,MF(미드필더),왼발,174,72,25,2001-02-19
월드컵,황희찬,Hwang Hee-chan,대한민국,대한민국,11,FW(공격수),오른발,177,77,30,1996-01-26
월드컵,이재성,Lee Jae-sung,대한민국,대한민국,10,MF(미드필더),오른발,180,70,33,1992-08-10
월드컵,황인범,Hwang In-beom,대한민국,대한민국,6,MF(미드필더),오른발,177,70,29,1996-09-20
월드컵,백승호,Paik Seung-ho,대한민국,대한민국,8,MF(미드필더),오른발,182,72,29,1997-03-17
월드컵,조규성,Cho Gue-sung,대한민국,대한민국,9,FW(공격수),오른발,189,82,28,1998-01-25
월드컵,오현규,Oh Hyeon-gyu,대한민국,대한민국,18,FW(공격수),오른발,183,72,25,2001-04-12
월드컵,조현우,Jo Hyeon-woo,대한민국,대한민국,21,GK(골키퍼),오른발,189,75,34,1991-09-25
월드컵,김승규,Kim Seung-gyu,대한민국,대한민국,1,GK(골키퍼),오른발,187,84,35,1990-09-30
월드컵,송범근,Song Bum-keun,대한민국,대한민국,12,GK(골키퍼),오른발,194,88,28,1997-10-15
월드컵,설영우,Seol Young-woo,대한민국,대한민국,22,DF(수비수),오른발,180,72,27,1998-12-05
월드컵,이한범,Lee Han-beom,대한민국,대한민국,2,DF(수비수),오른발,188,72,23,2002-06-17
월드컵,이태석,Lee Tae-seok,대한민국,대한민국,13,DF(수비수),왼발,174,61,23,2002-07-28
월드컵,김태현,Kim Tae-hyeon,대한민국,대한민국,26,DF(수비수),왼발,187,69,25,2000-09-17
월드컵,박진섭,Park Jin-seob,대한민국,대한민국,16,DF(수비수),오른발,182,75,30,1995-10-23
월드컵,양현준,Yang Hyun-jun,대한민국,대한민국,20,FW(공격수),오른발,179,73,24,2002-05-25
월드컵,엄지성,Eom Ji-sung,대한민국,대한민국,17,MF(미드필더),오른발,177,70,24,2002-05-09
월드컵,배준호,Bae Jun-ho,대한민국,대한민국,27,MF(미드필더),오른발,180,70,22,2003-08-21
월드컵,이동경,Lee Dong-gyeong,대한민국,대한민국,26,MF(미드필더),왼발,175,68,28,1997-09-20
월드컵,김진규,Kim Jin-gyu,대한민국,대한민국,24,MF(미드필더),오른발,177,68,29,1997-02-24
월드컵,이기혁,Lee Gi-hyuk,대한민국,대한민국,3,DF(수비수),왼발,184,72,25,2000-07-07
월드컵,옌스 카스트로프,Jens Castrop,대한민국,대한민국,23,MF(미드필더),오른발,180,75,22,2003-07-29
월드컵,김문환,Kim Moon-hwan,대한민국,대한민국,15,DF(수비수),오른발,173,64,30,1995-08-01
월드컵,조위제,Cho Wije,대한민국,대한민국,14,DF(수비수),오른발,189,82,24,2001-08-25
